clean,corrupted,label
The contact lasted from the year 1570 to the year 15,The contact lasted from the year 1501 to the year 15,70
The operation lasted from the year 1761 to the year 17,The operation lasted from the year 1701 to the year 17,61
The contact lasted from the year 1598 to the year 15,The contact lasted from the year 1501 to the year 15,98
The impact lasted from the year 1533 to the year 15,The impact lasted from the year 1501 to the year 15,33
The rule lasted from the year 1736 to the year 17,The rule lasted from the year 1701 to the year 17,36
The project lasted from the year 1148 to the year 11,The project lasted from the year 1101 to the year 11,48
The order lasted from the year 1775 to the year 17,The order lasted from the year 1701 to the year 17,75
The project lasted from the year 1728 to the year 17,The project lasted from the year 1701 to the year 17,28
The trial lasted from the year 1297 to the year 12,The trial lasted from the year 1201 to the year 12,97
The rise lasted from the year 1406 to the year 14,The rise lasted from the year 1401 to the year 14,6
The practice lasted from the year 1322 to the year 13,The practice lasted from the year 1301 to the year 13,22
The order lasted from the year 1582 to the year 15,The order lasted from the year 1501 to the year 15,82
The trial lasted from the year 1491 to the year 14,The trial lasted from the year 1401 to the year 14,91
The tests lasted from the year 1640 to the year 16,The tests lasted from the year 1601 to the year 16,40
The marriage lasted from the year 1705 to the year 17,The marriage lasted from the year 1701 to the year 17,5
The order lasted from the year 1633 to the year 16,The order lasted from the year 1601 to the year 16,33
The existence lasted from the year 1183 to the year 11,The existence lasted from the year 1101 to the year 11,83
The rise lasted from the year 1175 to the year 11,The rise lasted from the year 1101 to the year 11,75
The development lasted from the year 1476 to the year 14,The development lasted from the year 1401 to the year 14,76
The study lasted from the year 1357 to the year 13,The study lasted from the year 1301 to the year 13,57
The fall lasted from the year 1751 to the year 17,The fall lasted from the year 1701 to the year 17,51
The deal lasted from the year 1427 to the year 14,The deal lasted from the year 1401 to the year 14,27
The operation lasted from the year 1674 to the year 16,The operation lasted from the year 1601 to the year 16,74
The project lasted from the year 1556 to the year 15,The project lasted from the year 1501 to the year 15,56
The riot lasted from the year 1608 to the year 16,The riot lasted from the year 1601 to the year 16,8
The test lasted from the year 1796 to the year 17,The test lasted from the year 1701 to the year 17,96
The project lasted from the year 1589 to the year 15,The project lasted from the year 1501 to the year 15,89
The rise lasted from the year 1778 to the year 17,The rise lasted from the year 1701 to the year 17,78
The employment lasted from the year 1363 to the year 13,The employment lasted from the year 1301 to the year 13,63
The employment lasted from the year 1420 to the year 14,The employment lasted from the year 1401 to the year 14,20
The campaign lasted from the year 1733 to the year 17,The campaign lasted from the year 1701 to the year 17,33
The rule lasted from the year 1553 to the year 15,The rule lasted from the year 1501 to the year 15,53
The test lasted from the year 1428 to the year 14,The test lasted from the year 1401 to the year 14,28
The test lasted from the year 1276 to the year 12,The test lasted from the year 1201 to the year 12,76
The process lasted from the year 1589 to the year 15,The process lasted from the year 1501 to the year 15,89
The contact lasted from the year 1563 to the year 15,The contact lasted from the year 1501 to the year 15,63
The fall lasted from the year 1609 to the year 16,The fall lasted from the year 1601 to the year 16,9
The effect lasted from the year 1273 to the year 12,The effect lasted from the year 1201 to the year 12,73
The deal lasted from the year 1237 to the year 12,The deal lasted from the year 1201 to the year 12,37
The rise lasted from the year 1231 to the year 12,The rise lasted from the year 1201 to the year 12,31
The testing lasted from the year 1207 to the year 12,The testing lasted from the year 1201 to the year 12,7
The campaign lasted from the year 1496 to the year 14,The campaign lasted from the year 1401 to the year 14,96
The tests lasted from the year 1259 to the year 12,The tests lasted from the year 1201 to the year 12,59
The study lasted from the year 1396 to the year 13,The study lasted from the year 1301 to the year 13,96
The development lasted from the year 1135 to the year 11,The development lasted from the year 1101 to the year 11,35
The test lasted from the year 1570 to the year 15,The test lasted from the year 1501 to the year 15,70
The deal lasted from the year 1761 to the year 17,The deal lasted from the year 1701 to the year 17,61
The employment lasted from the year 1173 to the year 11,The employment lasted from the year 1101 to the year 11,73
The growth lasted from the year 1718 to the year 17,The growth lasted from the year 1701 to the year 17,18
The growth lasted from the year 1416 to the year 14,The growth lasted from the year 1401 to the year 14,16
The plan lasted from the year 1252 to the year 12,The plan lasted from the year 1201 to the year 12,52
The testing lasted from the year 1341 to the year 13,The testing lasted from the year 1301 to the year 13,41
The program lasted from the year 1283 to the year 12,The program lasted from the year 1201 to the year 12,83
The existence lasted from the year 1405 to the year 14,The existence lasted from the year 1401 to the year 14,5
The study lasted from the year 1110 to the year 11,The study lasted from the year 1101 to the year 11,10
The growth lasted from the year 1224 to the year 12,The growth lasted from the year 1201 to the year 12,24
The work lasted from the year 1585 to the year 15,The work lasted from the year 1501 to the year 15,85
The shift lasted from the year 1295 to the year 12,The shift lasted from the year 1201 to the year 12,95
The contact lasted from the year 1257 to the year 12,The contact lasted from the year 1201 to the year 12,57
The employment lasted from the year 1602 to the year 16,The employment lasted from the year 1601 to the year 16,2
The contract lasted from the year 1694 to the year 16,The contract lasted from the year 1601 to the year 16,94
The rise lasted from the year 1314 to the year 13,The rise lasted from the year 1301 to the year 13,14
The rule lasted from the year 1292 to the year 12,The rule lasted from the year 1201 to the year 12,92
The plan lasted from the year 1493 to the year 14,The plan lasted from the year 1401 to the year 14,93
The process lasted from the year 1258 to the year 12,The process lasted from the year 1201 to the year 12,58
The deal lasted from the year 1370 to the year 13,The deal lasted from the year 1301 to the year 13,70
The contact lasted from the year 1531 to the year 15,The contact lasted from the year 1501 to the year 15,31
The rise lasted from the year 1179 to the year 11,The rise lasted from the year 1101 to the year 11,79
The trip lasted from the year 1369 to the year 13,The trip lasted from the year 1301 to the year 13,69
The fall lasted from the year 1246 to the year 12,The fall lasted from the year 1201 to the year 12,46
The trip lasted from the year 1394 to the year 13,The trip lasted from the year 1301 to the year 13,94
The progress lasted from the year 1677 to the year 16,The progress lasted from the year 1601 to the year 16,77
The rule lasted from the year 1734 to the year 17,The rule lasted from the year 1701 to the year 17,34
The riot lasted from the year 1467 to the year 14,The riot lasted from the year 1401 to the year 14,67
The rule lasted from the year 1726 to the year 17,The rule lasted from the year 1701 to the year 17,26
The process lasted from the year 1281 to the year 12,The process lasted from the year 1201 to the year 12,81
The tests lasted from the year 1273 to the year 12,The tests lasted from the year 1201 to the year 12,73
The test lasted from the year 1748 to the year 17,The test lasted from the year 1701 to the year 17,48
The fall lasted from the year 1782 to the year 17,The fall lasted from the year 1701 to the year 17,82
The contact lasted from the year 1516 to the year 15,The contact lasted from the year 1501 to the year 15,16
The fall lasted from the year 1409 to the year 14,The fall lasted from the year 1401 to the year 14,9
The program lasted from the year 1445 to the year 14,The program lasted from the year 1401 to the year 14,45
The study lasted from the year 1166 to the year 11,The study lasted from the year 1101 to the year 11,66
The progress lasted from the year 1783 to the year 17,The progress lasted from the year 1701 to the year 17,83
The effect lasted from the year 1733 to the year 17,The effect lasted from the year 1701 to the year 17,33
The quest lasted from the year 1787 to the year 17,The quest lasted from the year 1701 to the year 17,87
The campaign lasted from the year 1570 to the year 15,The campaign lasted from the year 1501 to the year 15,70
The practice lasted from the year 1647 to the year 16,The practice lasted from the year 1601 to the year 16,47
The rule lasted from the year 1311 to the year 13,The rule lasted from the year 1301 to the year 13,11
The order lasted from the year 1518 to the year 15,The order lasted from the year 1501 to the year 15,18
The impact lasted from the year 1220 to the year 12,The impact lasted from the year 1201 to the year 12,20
The employment lasted from the year 1757 to the year 17,The employment lasted from the year 1701 to the year 17,57
The attack lasted from the year 1321 to the year 13,The attack lasted from the year 1301 to the year 13,21
The case lasted from the year 1409 to the year 14,The case lasted from the year 1401 to the year 14,9
The study lasted from the year 1623 to the year 16,The study lasted from the year 1601 to the year 16,23
The quest lasted from the year 1521 to the year 15,The quest lasted from the year 1501 to the year 15,21
The shift lasted from the year 1520 to the year 15,The shift lasted from the year 1501 to the year 15,20
The project lasted from the year 1726 to the year 17,The project lasted from the year 1701 to the year 17,26
The campaign lasted from the year 1754 to the year 17,The campaign lasted from the year 1701 to the year 17,54
The effect lasted from the year 1539 to the year 15,The effect lasted from the year 1501 to the year 15,39
The growth lasted from the year 1786 to the year 17,The growth lasted from the year 1701 to the year 17,86
The contact lasted from the year 1609 to the year 16,The contact lasted from the year 1601 to the year 16,9
The work lasted from the year 1521 to the year 15,The work lasted from the year 1501 to the year 15,21
The rise lasted from the year 1567 to the year 15,The rise lasted from the year 1501 to the year 15,67
The contract lasted from the year 1288 to the year 12,The contract lasted from the year 1201 to the year 12,88
The campaign lasted from the year 1142 to the year 11,The campaign lasted from the year 1101 to the year 11,42
The progress lasted from the year 1573 to the year 15,The progress lasted from the year 1501 to the year 15,73
The plan lasted from the year 1543 to the year 15,The plan lasted from the year 1501 to the year 15,43
The trip lasted from the year 1146 to the year 11,The trip lasted from the year 1101 to the year 11,46
The deal lasted from the year 1467 to the year 14,The deal lasted from the year 1401 to the year 14,67
The operation lasted from the year 1691 to the year 16,The operation lasted from the year 1601 to the year 16,91
The testing lasted from the year 1698 to the year 16,The testing lasted from the year 1601 to the year 16,98
The trip lasted from the year 1206 to the year 12,The trip lasted from the year 1201 to the year 12,6
The fall lasted from the year 1398 to the year 13,The fall lasted from the year 1301 to the year 13,98
The campaign lasted from the year 1223 to the year 12,The campaign lasted from the year 1201 to the year 12,23
The employment lasted from the year 1566 to the year 15,The employment lasted from the year 1501 to the year 15,66
The practice lasted from the year 1644 to the year 16,The practice lasted from the year 1601 to the year 16,44
The riot lasted from the year 1724 to the year 17,The riot lasted from the year 1701 to the year 17,24
The operation lasted from the year 1274 to the year 12,The operation lasted from the year 1201 to the year 12,74
The existence lasted from the year 1437 to the year 14,The existence lasted from the year 1401 to the year 14,37
The practice lasted from the year 1310 to the year 13,The practice lasted from the year 1301 to the year 13,10
The trial lasted from the year 1795 to the year 17,The trial lasted from the year 1701 to the year 17,95
The contact lasted from the year 1774 to the year 17,The contact lasted from the year 1701 to the year 17,74
The impact lasted from the year 1744 to the year 17,The impact lasted from the year 1701 to the year 17,44
The work lasted from the year 1315 to the year 13,The work lasted from the year 1301 to the year 13,15
The case lasted from the year 1705 to the year 17,The case lasted from the year 1701 to the year 17,5
The operation lasted from the year 1705 to the year 17,The operation lasted from the year 1701 to the year 17,5
The study lasted from the year 1546 to the year 15,The study lasted from the year 1501 to the year 15,46
The rise lasted from the year 1449 to the year 14,The rise lasted from the year 1401 to the year 14,49
The employment lasted from the year 1493 to the year 14,The employment lasted from the year 1401 to the year 14,93
The practice lasted from the year 1436 to the year 14,The practice lasted from the year 1401 to the year 14,36
The impact lasted from the year 1681 to the year 16,The impact lasted from the year 1601 to the year 16,81
The trip lasted from the year 1568 to the year 15,The trip lasted from the year 1501 to the year 15,68
The riot lasted from the year 1729 to the year 17,The riot lasted from the year 1701 to the year 17,29
The rule lasted from the year 1457 to the year 14,The rule lasted from the year 1401 to the year 14,57
The campaign lasted from the year 1724 to the year 17,The campaign lasted from the year 1701 to the year 17,24
The effect lasted from the year 1542 to the year 15,The effect lasted from the year 1501 to the year 15,42
The contact lasted from the year 1698 to the year 16,The contact lasted from the year 1601 to the year 16,98
The progress lasted from the year 1562 to the year 15,The progress lasted from the year 1501 to the year 15,62
The progress lasted from the year 1383 to the year 13,The progress lasted from the year 1301 to the year 13,83
The marriage lasted from the year 1705 to the year 17,The marriage lasted from the year 1701 to the year 17,5
The rule lasted from the year 1443 to the year 14,The rule lasted from the year 1401 to the year 14,43
The contract lasted from the year 1529 to the year 15,The contract lasted from the year 1501 to the year 15,29
The impact lasted from the year 1402 to the year 14,The impact lasted from the year 1401 to the year 14,2
The trip lasted from the year 1237 to the year 12,The trip lasted from the year 1201 to the year 12,37
The program lasted from the year 1407 to the year 14,The program lasted from the year 1401 to the year 14,7
The rise lasted from the year 1328 to the year 13,The rise lasted from the year 1301 to the year 13,28
The study lasted from the year 1217 to the year 12,The study lasted from the year 1201 to the year 12,17
The testing lasted from the year 1648 to the year 16,The testing lasted from the year 1601 to the year 16,48
The work lasted from the year 1561 to the year 15,The work lasted from the year 1501 to the year 15,61
The growth lasted from the year 1743 to the year 17,The growth lasted from the year 1701 to the year 17,43
The trip lasted from the year 1314 to the year 13,The trip lasted from the year 1301 to the year 13,14
The fall lasted from the year 1455 to the year 14,The fall lasted from the year 1401 to the year 14,55
The growth lasted from the year 1371 to the year 13,The growth lasted from the year 1301 to the year 13,71
The employment lasted from the year 1268 to the year 12,The employment lasted from the year 1201 to the year 12,68
The development lasted from the year 1651 to the year 16,The development lasted from the year 1601 to the year 16,51
The trial lasted from the year 1724 to the year 17,The trial lasted from the year 1701 to the year 17,24
The deal lasted from the year 1769 to the year 17,The deal lasted from the year 1701 to the year 17,69
The existence lasted from the year 1655 to the year 16,The existence lasted from the year 1601 to the year 16,55
The operation lasted from the year 1403 to the year 14,The operation lasted from the year 1401 to the year 14,3
The trip lasted from the year 1612 to the year 16,The trip lasted from the year 1601 to the year 16,12
The program lasted from the year 1792 to the year 17,The program lasted from the year 1701 to the year 17,92
The attack lasted from the year 1553 to the year 15,The attack lasted from the year 1501 to the year 15,53
The tests lasted from the year 1769 to the year 17,The tests lasted from the year 1701 to the year 17,69
The shift lasted from the year 1707 to the year 17,The shift lasted from the year 1701 to the year 17,7
The study lasted from the year 1167 to the year 11,The study lasted from the year 1101 to the year 11,67
The trial lasted from the year 1350 to the year 13,The trial lasted from the year 1301 to the year 13,50
The tests lasted from the year 1229 to the year 12,The tests lasted from the year 1201 to the year 12,29
The study lasted from the year 1738 to the year 17,The study lasted from the year 1701 to the year 17,38
The testing lasted from the year 1297 to the year 12,The testing lasted from the year 1201 to the year 12,97
The impact lasted from the year 1515 to the year 15,The impact lasted from the year 1501 to the year 15,15
The campaign lasted from the year 1132 to the year 11,The campaign lasted from the year 1101 to the year 11,32
The plan lasted from the year 1794 to the year 17,The plan lasted from the year 1701 to the year 17,94
The quest lasted from the year 1794 to the year 17,The quest lasted from the year 1701 to the year 17,94
The project lasted from the year 1275 to the year 12,The project lasted from the year 1201 to the year 12,75
The testing lasted from the year 1451 to the year 14,The testing lasted from the year 1401 to the year 14,51
The work lasted from the year 1781 to the year 17,The work lasted from the year 1701 to the year 17,81
The marriage lasted from the year 1762 to the year 17,The marriage lasted from the year 1701 to the year 17,62
The marriage lasted from the year 1313 to the year 13,The marriage lasted from the year 1301 to the year 13,13
The project lasted from the year 1703 to the year 17,The project lasted from the year 1701 to the year 17,3
The test lasted from the year 1553 to the year 15,The test lasted from the year 1501 to the year 15,53
The quest lasted from the year 1533 to the year 15,The quest lasted from the year 1501 to the year 15,33
The marriage lasted from the year 1739 to the year 17,The marriage lasted from the year 1701 to the year 17,39
The testing lasted from the year 1250 to the year 12,The testing lasted from the year 1201 to the year 12,50
The attack lasted from the year 1691 to the year 16,The attack lasted from the year 1601 to the year 16,91
The work lasted from the year 1447 to the year 14,The work lasted from the year 1401 to the year 14,47
The riot lasted from the year 1293 to the year 12,The riot lasted from the year 1201 to the year 12,93
The contract lasted from the year 1430 to the year 14,The contract lasted from the year 1401 to the year 14,30
The operation lasted from the year 1465 to the year 14,The operation lasted from the year 1401 to the year 14,65
The riot lasted from the year 1460 to the year 14,The riot lasted from the year 1401 to the year 14,60
The fall lasted from the year 1435 to the year 14,The fall lasted from the year 1401 to the year 14,35
The quest lasted from the year 1730 to the year 17,The quest lasted from the year 1701 to the year 17,30
The rule lasted from the year 1765 to the year 17,The rule lasted from the year 1701 to the year 17,65
The trial lasted from the year 1216 to the year 12,The trial lasted from the year 1201 to the year 12,16
The plan lasted from the year 1708 to the year 17,The plan lasted from the year 1701 to the year 17,8
The practice lasted from the year 1645 to the year 16,The practice lasted from the year 1601 to the year 16,45
The rise lasted from the year 1259 to the year 12,The rise lasted from the year 1201 to the year 12,59
The growth lasted from the year 1205 to the year 12,The growth lasted from the year 1201 to the year 12,5
The rise lasted from the year 1663 to the year 16,The rise lasted from the year 1601 to the year 16,63
The case lasted from the year 1405 to the year 14,The case lasted from the year 1401 to the year 14,5
The shift lasted from the year 1215 to the year 12,The shift lasted from the year 1201 to the year 12,15
The rise lasted from the year 1310 to the year 13,The rise lasted from the year 1301 to the year 13,10
The project lasted from the year 1392 to the year 13,The project lasted from the year 1301 to the year 13,92
The rule lasted from the year 1323 to the year 13,The rule lasted from the year 1301 to the year 13,23
The rise lasted from the year 1248 to the year 12,The rise lasted from the year 1201 to the year 12,48
The existence lasted from the year 1795 to the year 17,The existence lasted from the year 1701 to the year 17,95
The program lasted from the year 1519 to the year 15,The program lasted from the year 1501 to the year 15,19
The testing lasted from the year 1264 to the year 12,The testing lasted from the year 1201 to the year 12,64
The project lasted from the year 1163 to the year 11,The project lasted from the year 1101 to the year 11,63
The riot lasted from the year 1522 to the year 15,The riot lasted from the year 1501 to the year 15,22
The fall lasted from the year 1314 to the year 13,The fall lasted from the year 1301 to the year 13,14
The testing lasted from the year 1742 to the year 17,The testing lasted from the year 1701 to the year 17,42
The progress lasted from the year 1257 to the year 12,The progress lasted from the year 1201 to the year 12,57
The trip lasted from the year 1240 to the year 12,The trip lasted from the year 1201 to the year 12,40
The employment lasted from the year 1722 to the year 17,The employment lasted from the year 1701 to the year 17,22
The quest lasted from the year 1549 to the year 15,The quest lasted from the year 1501 to the year 15,49
The impact lasted from the year 1226 to the year 12,The impact lasted from the year 1201 to the year 12,26
The order lasted from the year 1691 to the year 16,The order lasted from the year 1601 to the year 16,91
The marriage lasted from the year 1714 to the year 17,The marriage lasted from the year 1701 to the year 17,14
The case lasted from the year 1416 to the year 14,The case lasted from the year 1401 to the year 14,16
The testing lasted from the year 1538 to the year 15,The testing lasted from the year 1501 to the year 15,38
The work lasted from the year 1432 to the year 14,The work lasted from the year 1401 to the year 14,32
The testing lasted from the year 1206 to the year 12,The testing lasted from the year 1201 to the year 12,6
The attack lasted from the year 1494 to the year 14,The attack lasted from the year 1401 to the year 14,94
The order lasted from the year 1538 to the year 15,The order lasted from the year 1501 to the year 15,38
The marriage lasted from the year 1479 to the year 14,The marriage lasted from the year 1401 to the year 14,79
The tests lasted from the year 1184 to the year 11,The tests lasted from the year 1101 to the year 11,84
The deal lasted from the year 1286 to the year 12,The deal lasted from the year 1201 to the year 12,86
The tests lasted from the year 1464 to the year 14,The tests lasted from the year 1401 to the year 14,64
The shift lasted from the year 1706 to the year 17,The shift lasted from the year 1701 to the year 17,6
The existence lasted from the year 1394 to the year 13,The existence lasted from the year 1301 to the year 13,94
The program lasted from the year 1529 to the year 15,The program lasted from the year 1501 to the year 15,29
The rise lasted from the year 1702 to the year 17,The rise lasted from the year 1701 to the year 17,2
The trip lasted from the year 1448 to the year 14,The trip lasted from the year 1401 to the year 14,48
The program lasted from the year 1589 to the year 15,The program lasted from the year 1501 to the year 15,89
The project lasted from the year 1787 to the year 17,The project lasted from the year 1701 to the year 17,87
The order lasted from the year 1644 to the year 16,The order lasted from the year 1601 to the year 16,44
The riot lasted from the year 1761 to the year 17,The riot lasted from the year 1701 to the year 17,61
The work lasted from the year 1216 to the year 12,The work lasted from the year 1201 to the year 12,16
The employment lasted from the year 1264 to the year 12,The employment lasted from the year 1201 to the year 12,64
The test lasted from the year 1615 to the year 16,The test lasted from the year 1601 to the year 16,15
The fall lasted from the year 1391 to the year 13,The fall lasted from the year 1301 to the year 13,91
The case lasted from the year 1219 to the year 12,The case lasted from the year 1201 to the year 12,19
The contract lasted from the year 1112 to the year 11,The contract lasted from the year 1101 to the year 11,12
The deal lasted from the year 1325 to the year 13,The deal lasted from the year 1301 to the year 13,25
The program lasted from the year 1722 to the year 17,The program lasted from the year 1701 to the year 17,22
The marriage lasted from the year 1608 to the year 16,The marriage lasted from the year 1601 to the year 16,8
The deal lasted from the year 1371 to the year 13,The deal lasted from the year 1301 to the year 13,71
The study lasted from the year 1475 to the year 14,The study lasted from the year 1401 to the year 14,75
The progress lasted from the year 1671 to the year 16,The progress lasted from the year 1601 to the year 16,71
The shift lasted from the year 1542 to the year 15,The shift lasted from the year 1501 to the year 15,42
The contact lasted from the year 1713 to the year 17,The contact lasted from the year 1701 to the year 17,13
The rule lasted from the year 1276 to the year 12,The rule lasted from the year 1201 to the year 12,76
The rise lasted from the year 1342 to the year 13,The rise lasted from the year 1301 to the year 13,42
The project lasted from the year 1178 to the year 11,The project lasted from the year 1101 to the year 11,78
The program lasted from the year 1762 to the year 17,The program lasted from the year 1701 to the year 17,62
The tests lasted from the year 1244 to the year 12,The tests lasted from the year 1201 to the year 12,44
The fall lasted from the year 1663 to the year 16,The fall lasted from the year 1601 to the year 16,63
The tests lasted from the year 1796 to the year 17,The tests lasted from the year 1701 to the year 17,96
The program lasted from the year 1173 to the year 11,The program lasted from the year 1101 to the year 11,73
The case lasted from the year 1665 to the year 16,The case lasted from the year 1601 to the year 16,65
The tests lasted from the year 1402 to the year 14,The tests lasted from the year 1401 to the year 14,2
The testing lasted from the year 1150 to the year 11,The testing lasted from the year 1101 to the year 11,50
The test lasted from the year 1767 to the year 17,The test lasted from the year 1701 to the year 17,67
The growth lasted from the year 1355 to the year 13,The growth lasted from the year 1301 to the year 13,55
The contact lasted from the year 1642 to the year 16,The contact lasted from the year 1601 to the year 16,42
The rule lasted from the year 1278 to the year 12,The rule lasted from the year 1201 to the year 12,78
The progress lasted from the year 1735 to the year 17,The progress lasted from the year 1701 to the year 17,35
The program lasted from the year 1270 to the year 12,The program lasted from the year 1201 to the year 12,70
The growth lasted from the year 1377 to the year 13,The growth lasted from the year 1301 to the year 13,77
The plan lasted from the year 1172 to the year 11,The plan lasted from the year 1101 to the year 11,72
The work lasted from the year 1708 to the year 17,The work lasted from the year 1701 to the year 17,8
The trial lasted from the year 1604 to the year 16,The trial lasted from the year 1601 to the year 16,4
The operation lasted from the year 1409 to the year 14,The operation lasted from the year 1401 to the year 14,9
The tests lasted from the year 1590 to the year 15,The tests lasted from the year 1501 to the year 15,90
The rise lasted from the year 1272 to the year 12,The rise lasted from the year 1201 to the year 12,72
The practice lasted from the year 1722 to the year 17,The practice lasted from the year 1701 to the year 17,22
The order lasted from the year 1728 to the year 17,The order lasted from the year 1701 to the year 17,28
The quest lasted from the year 1406 to the year 14,The quest lasted from the year 1401 to the year 14,6
The rule lasted from the year 1621 to the year 16,The rule lasted from the year 1601 to the year 16,21
The plan lasted from the year 1273 to the year 12,The plan lasted from the year 1201 to the year 12,73
The deal lasted from the year 1209 to the year 12,The deal lasted from the year 1201 to the year 12,9
The marriage lasted from the year 1783 to the year 17,The marriage lasted from the year 1701 to the year 17,83
The tests lasted from the year 1438 to the year 14,The tests lasted from the year 1401 to the year 14,38
The deal lasted from the year 1432 to the year 14,The deal lasted from the year 1401 to the year 14,32
The effect lasted from the year 1565 to the year 15,The effect lasted from the year 1501 to the year 15,65
The testing lasted from the year 1660 to the year 16,The testing lasted from the year 1601 to the year 16,60
The test lasted from the year 1403 to the year 14,The test lasted from the year 1401 to the year 14,3
The campaign lasted from the year 1784 to the year 17,The campaign lasted from the year 1701 to the year 17,84
The quest lasted from the year 1404 to the year 14,The quest lasted from the year 1401 to the year 14,4
The campaign lasted from the year 1540 to the year 15,The campaign lasted from the year 1501 to the year 15,40
The tests lasted from the year 1220 to the year 12,The tests lasted from the year 1201 to the year 12,20
The contact lasted from the year 1386 to the year 13,The contact lasted from the year 1301 to the year 13,86
The rule lasted from the year 1704 to the year 17,The rule lasted from the year 1701 to the year 17,4
The fall lasted from the year 1641 to the year 16,The fall lasted from the year 1601 to the year 16,41
The practice lasted from the year 1265 to the year 12,The practice lasted from the year 1201 to the year 12,65
The contact lasted from the year 1446 to the year 14,The contact lasted from the year 1401 to the year 14,46
The contract lasted from the year 1768 to the year 17,The contract lasted from the year 1701 to the year 17,68
The marriage lasted from the year 1391 to the year 13,The marriage lasted from the year 1301 to the year 13,91
The effect lasted from the year 1410 to the year 14,The effect lasted from the year 1401 to the year 14,10
The marriage lasted from the year 1317 to the year 13,The marriage lasted from the year 1301 to the year 13,17
The growth lasted from the year 1656 to the year 16,The growth lasted from the year 1601 to the year 16,56
The effect lasted from the year 1230 to the year 12,The effect lasted from the year 1201 to the year 12,30
The study lasted from the year 1747 to the year 17,The study lasted from the year 1701 to the year 17,47
The practice lasted from the year 1355 to the year 13,The practice lasted from the year 1301 to the year 13,55
The rise lasted from the year 1337 to the year 13,The rise lasted from the year 1301 to the year 13,37
The work lasted from the year 1349 to the year 13,The work lasted from the year 1301 to the year 13,49
The operation lasted from the year 1426 to the year 14,The operation lasted from the year 1401 to the year 14,26
The order lasted from the year 1450 to the year 14,The order lasted from the year 1401 to the year 14,50
The progress lasted from the year 1636 to the year 16,The progress lasted from the year 1601 to the year 16,36
The rule lasted from the year 1256 to the year 12,The rule lasted from the year 1201 to the year 12,56
The practice lasted from the year 1209 to the year 12,The practice lasted from the year 1201 to the year 12,9
The attack lasted from the year 1528 to the year 15,The attack lasted from the year 1501 to the year 15,28
The plan lasted from the year 1702 to the year 17,The plan lasted from the year 1701 to the year 17,2
The campaign lasted from the year 1447 to the year 14,The campaign lasted from the year 1401 to the year 14,47
The contact lasted from the year 1256 to the year 12,The contact lasted from the year 1201 to the year 12,56
The program lasted from the year 1529 to the year 15,The program lasted from the year 1501 to the year 15,29
The marriage lasted from the year 1316 to the year 13,The marriage lasted from the year 1301 to the year 13,16
The campaign lasted from the year 1476 to the year 14,The campaign lasted from the year 1401 to the year 14,76
The program lasted from the year 1171 to the year 11,The program lasted from the year 1101 to the year 11,71
The impact lasted from the year 1181 to the year 11,The impact lasted from the year 1101 to the year 11,81
The progress lasted from the year 1396 to the year 13,The progress lasted from the year 1301 to the year 13,96
The study lasted from the year 1535 to the year 15,The study lasted from the year 1501 to the year 15,35
The fall lasted from the year 1618 to the year 16,The fall lasted from the year 1601 to the year 16,18
The riot lasted from the year 1674 to the year 16,The riot lasted from the year 1601 to the year 16,74
The contact lasted from the year 1213 to the year 12,The contact lasted from the year 1201 to the year 12,13
The shift lasted from the year 1402 to the year 14,The shift lasted from the year 1401 to the year 14,2
The practice lasted from the year 1672 to the year 16,The practice lasted from the year 1601 to the year 16,72
The quest lasted from the year 1772 to the year 17,The quest lasted from the year 1701 to the year 17,72
The plan lasted from the year 1402 to the year 14,The plan lasted from the year 1401 to the year 14,2
The testing lasted from the year 1634 to the year 16,The testing lasted from the year 1601 to the year 16,34
The employment lasted from the year 1218 to the year 12,The employment lasted from the year 1201 to the year 12,18
The attack lasted from the year 1378 to the year 13,The attack lasted from the year 1301 to the year 13,78
The quest lasted from the year 1203 to the year 12,The quest lasted from the year 1201 to the year 12,3
The study lasted from the year 1489 to the year 14,The study lasted from the year 1401 to the year 14,89
The employment lasted from the year 1679 to the year 16,The employment lasted from the year 1601 to the year 16,79
The project lasted from the year 1185 to the year 11,The project lasted from the year 1101 to the year 11,85
The process lasted from the year 1427 to the year 14,The process lasted from the year 1401 to the year 14,27
The testing lasted from the year 1798 to the year 17,The testing lasted from the year 1701 to the year 17,98
The work lasted from the year 1564 to the year 15,The work lasted from the year 1501 to the year 15,64
The employment lasted from the year 1428 to the year 14,The employment lasted from the year 1401 to the year 14,28
The study lasted from the year 1490 to the year 14,The study lasted from the year 1401 to the year 14,90
The tests lasted from the year 1220 to the year 12,The tests lasted from the year 1201 to the year 12,20
The trip lasted from the year 1513 to the year 15,The trip lasted from the year 1501 to the year 15,13
The testing lasted from the year 1385 to the year 13,The testing lasted from the year 1301 to the year 13,85
The trip lasted from the year 1184 to the year 11,The trip lasted from the year 1101 to the year 11,84
The effect lasted from the year 1511 to the year 15,The effect lasted from the year 1501 to the year 15,11
The marriage lasted from the year 1346 to the year 13,The marriage lasted from the year 1301 to the year 13,46
The contract lasted from the year 1187 to the year 11,The contract lasted from the year 1101 to the year 11,87
The tests lasted from the year 1266 to the year 12,The tests lasted from the year 1201 to the year 12,66
The work lasted from the year 1719 to the year 17,The work lasted from the year 1701 to the year 17,19
The practice lasted from the year 1318 to the year 13,The practice lasted from the year 1301 to the year 13,18
